,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
317,SEARSPORT,2634,-68.9038627,44.463934,180,168,7,0.517241379,170,182,3,0.482954545,242,111,2,0.685552408,170,182,3,0.482954545,191,162,2,0.541076487
318,SEBAGO,1829,-70.677518,43.8872801,149,94,3,0.613168724,149,95,2,0.610655738,177,67,2,0.725409836,147,96,3,0.604938272,157,88,1,0.640816327
319,SEBEC,592,-69.1167087,45.2714408,55,47,1,0.539215686,40,62,1,0.392156863,62,40,1,0.607843137,50,53,0,0.485436893,56,46,1,0.549019608
320,SEBOEIS,34,-68.7111424,45.3631091,13,8,0,0.619047619,12,9,0,0.571428571,15,6,0,0.714285714,9,12,0,0.428571429,11,10,0,0.523809524
321,SEDGWICK,1176,-68.6155184,44.3040651,107,96,1,0.527093596,132,71,1,0.650246305,150,52,2,0.742574257,114,88,2,0.564356436,142,62,0,0.696078431
322,SHAPLEIGH,2754,-70.8481164,43.5406359,108,109,2,0.497695853,98,121,0,0.447488584,139,79,1,0.637614679,89,129,1,0.408256881,121,97,1,0.555045872
323,SHERMAN,778,-68.4178063,45.8711632,49,83,3,0.371212121,47,86,2,0.353383459,54,78,3,0.409090909,36,95,4,0.27480916,50,82,3,0.378787879
324,SHIRLEY,225,-69.633903,45.3476081,29,24,0,0.547169811,23,30,0,0.433962264,36,17,0,0.679245283,19,34,0,0.358490566,28,25,0,0.528301887
325,SIDNEY,4468,-69.7226248,44.4530868,304,230,3,0.56928839,298,238,1,0.555970149,361,172,4,0.677298311,250,284,3,0.468164794,320,214,3,0.599250936
326,SKOWHEGAN,8239,-69.7193803,44.7650366,495,331,7,0.599273608,452,370,11,0.549878345,567,257,9,0.688106796,404,423,6,0.488512696,494,332,7,0.598062954
327,SMITHFIELD,1009,-69.8294968,44.6303411,99,80,2,0.553072626,100,81,0,0.552486188,133,48,0,0.73480663,96,84,1,0.533333333,108,73,0,0.596685083
