,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
256,NEWFIELD,1585,-70.8470062,43.6481341,447,416,9,0.517960603,404,459,9,0.468134415,277,592,3,0.318757192,503,364,5,0.580161476,410,436,26,0.48463357,437,416,19,0.512309496
257,NEWPORT,3273,-69.2852859,44.8370741,742,989,39,0.428653957,771,955,44,0.446697567,560,1175,35,0.322766571,770,953,47,0.446894951,708,988,74,0.41745283,904,806,60,0.528654971
258,NEWRY,353,-70.7885765,44.4884245,166,111,5,0.599277978,134,143,5,0.483754513,134,142,6,0.485507246,152,125,5,0.548736462,150,120,12,0.555555556,180,94,8,0.656934307
259,NOBLEBORO,1653,-69.4851938,44.0795596,556,609,11,0.477253219,551,614,11,0.472961373,506,662,8,0.433219178,603,560,13,0.518486672,530,614,32,0.463286713,715,441,20,0.618512111
260,NORRIDGEWOCK,3222,-69.7905955,44.7130794,835,979,26,0.46030871,867,940,33,0.479800775,496,1323,21,0.272677295,863,947,30,0.47679558,816,959,65,0.45971831,918,860,62,0.516310461
261,NORTHFIELD,140,-67.5705504,44.8289649,54,51,3,0.514285714,31,73,4,0.298076923,28,78,2,0.264150943,42,63,3,0.4,38,67,3,0.361904762,55,49,4,0.528846154
262,NORTHPORT,1581,-68.9613175,44.3377823,507,512,18,0.497546614,540,477,20,0.530973451,505,525,7,0.490291262,595,431,11,0.579922027,549,456,32,0.546268657,632,376,29,0.626984127
263,NORWAY,4991,-70.5448096,44.2139566,1311,1341,41,0.494343891,1356,1293,44,0.51189128,1034,1627,32,0.388575723,1389,1261,43,0.524150943,1331,1281,81,0.50957121,1493,1129,71,0.569412662
264,OAKFIELD,678,-68.1589208,46.1007097,132,242,18,0.352941176,181,189,22,0.489189189,88,293,11,0.230971129,176,194,22,0.475675676,158,207,27,0.432876712,172,193,27,0.471232877
265,OAKLAND,6309,-69.721995,44.5402221,1620,1914,62,0.458404075,1722,1803,71,0.488510638,1380,2154,62,0.39049236,1799,1733,64,0.509343148,1688,1795,113,0.484639678,2032,1469,95,0.580405598
266,OGUNQUIT,929,-70.5986223,43.2468352,505,393,23,0.562360802,461,431,29,0.516816143,717,188,16,0.792265193,607,295,19,0.672949002,485,381,55,0.560046189,691,194,36,0.78079096
267,ORIENT,140,-67.8400137,45.8170031,40,49,0,0.449438202,34,54,1,0.386363636,18,71,0,0.202247191,47,41,1,0.534090909,32,54,3,0.372093023,40,46,3,0.465116279
268,ORLAND,2181,-68.7378128,44.5706252,702,694,6,0.50286533,645,747,10,0.463362069,461,932,9,0.330940416,741,650,11,0.53271028,656,716,30,0.478134111,814,564,24,0.590711176
269,ORONO,10799,-68.6719411,44.8831125,3446,2039,71,0.628258888,3435,2005,116,0.631433824,3523,1977,56,0.640545455,3202,2261,93,0.58612484,3507,1858,191,0.653681267,3646,1677,233,0.684952095
