,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
1,ABBOT,677,-69.4523477,45.1861838,180,217,11,0.453400504,144,254,10,0.361809045,71,330,7,0.177057357,165,233,10,0.414572864,134,254,20,0.345360825,186,210,12,0.46969697
2,ACTON,2621,-70.9277544,43.5233821,832,651,14,0.561024949,681,795,21,0.461382114,626,861,10,0.420981843,836,638,23,0.567164179,712,731,54,0.493416493,833,616,48,0.574879227
3,ADDISON,1254,-67.7441645,44.6184102,305,367,8,0.453869048,262,408,10,0.391044776,184,490,6,0.272997033,343,332,5,0.508148148,261,400,19,0.394856278,349,315,16,0.52560241
4,ALBANY,515,-70.8456252,44.3325657,182,130,3,0.583333333,161,150,4,0.517684887,98,212,5,0.316129032,169,140,6,0.546925566,145,158,12,0.478547855,187,118,10,0.613114754
5,ALBION,2094,-69.4425423,44.5322902,447,709,19,0.386678201,444,714,17,0.383419689,267,887,21,0.231369151,468,688,19,0.404844291,441,696,38,0.387862797,539,602,34,0.472392638
6,ALEXANDER,480,-67.4683278,45.0886862,122,186,5,0.396103896,123,185,5,0.399350649,69,240,4,0.223300971,141,168,4,0.45631068,113,188,12,0.375415282,142,161,10,0.468646865
7,ALFRED,3163,-70.7161687,43.4764994,880,956,37,0.479302832,922,918,33,0.501086957,886,961,26,0.479696806,1041,795,37,0.566993464,916,889,68,0.507479224,1095,729,49,0.600328947
8,ALLAGASH,217,-69.0417481,47.0833103,60,96,13,0.384615385,95,61,13,0.608974359,61,99,9,0.38125,123,39,7,0.759259259,78,72,19,0.52,97,56,16,0.633986928
9,ALNA,734,-69.6036567,44.1061869,267,211,4,0.558577406,270,204,8,0.569620253,249,228,5,0.522012579,300,177,5,0.628930818,284,184,14,0.606837607,318,155,9,0.67230444
10,ALTON,858,-68.7286452,45.0314546,213,258,2,0.452229299,192,278,3,0.408510638,107,365,1,0.226694915,189,283,1,0.400423729,181,285,7,0.388412017,235,230,8,0.505376344
11,AMHERST,257,-68.3640454,44.8323419,84,88,2,0.488372093,71,99,4,0.417647059,40,129,5,0.236686391,77,94,3,0.450292398,72,97,5,0.426035503,88,81,5,0.520710059
12,AMITY,217,-67.8493379,45.9305781,45,79,0,0.362903226,47,77,0,0.379032258,20,103,1,0.162601626,65,57,2,0.532786885,40,82,2,0.327868852,53,69,2,0.43442623
13,ANDOVER,831,-70.7511813,44.6356166,249,291,6,0.461111111,267,271,8,0.496282528,130,410,6,0.240740741,284,255,7,0.52690167,251,273,22,0.479007634,240,291,15,0.451977401
14,ANSON,2384,-69.8892408,44.7983618,588,573,14,0.506459948,542,619,14,0.466838932,286,883,6,0.24465355,572,593,10,0.490987124,549,593,33,0.480735552,579,570,26,0.503916449
15,APPLETON,1368,-69.2508768,44.289243,447,412,15,0.520372526,406,451,17,0.473745624,332,530,12,0.385150812,459,401,14,0.53372093,419,419,36,0.5,428,410,36,0.510739857
16,ARROWSIC,461,-69.7781014,43.8498037,200,148,3,0.574712644,180,166,5,0.520231214,229,119,3,0.658045977,231,118,2,0.661891117,210,138,3,0.603448276,265,82,4,0.763688761
17,ARUNDEL,4394,-70.5141622,43.4243008,1373,1126,37,0.549419768,1250,1247,39,0.500600721,1211,1299,26,0.48247012,1333,1175,28,0.531499203,1236,1211,89,0.505108296,1451,1011,74,0.589358245
18,ASHLAND,1217,-68.3895276,46.6609983,252,351,25,0.417910448,296,307,25,0.490878939,150,452,26,0.249169435,314,288,26,0.521594684,243,344,41,0.413969336,331,263,34,0.557239057
19,ATHENS,979,-69.6728296,44.9231142,220,275,6,0.444444444,225,266,10,0.458248473,94,401,6,0.18989899,222,271,8,0.45030426,200,279,22,0.417536534,240,242,19,0.497925311
20,ATKINSON,306,-69.0910809,45.1868588,89,95,4,0.483695652,67,117,4,0.364130435,40,145,3,0.216216216,75,108,5,0.409836066,66,114,8,0.366666667,85,95,8,0.472222222
21,AUBURN,23414,-70.2311655,44.0978509,5871,5993,122,0.494858395,6258,5592,136,0.528101266,5975,5883,128,0.503879238,6408,5442,136,0.540759494,6166,5538,282,0.526828435,6952,4788,246,0.592163543
22,AUGUSTA,18697,-69.7794897,44.3106241,4203,4736,269,0.470186822,4847,4070,297,0.543568465,4349,4591,274,0.486465324,5064,3875,275,0.566506321,4775,3999,440,0.544221564,5633,3184,397,0.638879437
23,AURORA,111,-68.3166626,44.8587319,35,40,1,0.466666667,29,47,0,0.381578947,17,58,1,0.226666667,45,31,0,0.592105263,30,46,0,0.394736842,39,35,2,0.527027027
24,AVON,438,-70.2711766,44.8061682,114,133,1,0.461538462,109,136,3,0.444897959,49,197,2,0.199186992,116,129,3,0.473469388,110,133,5,0.452674897,115,126,7,0.477178423
25,BAILEYVILLE,1447,-67.441251,45.1815281,357,343,7,0.51,339,355,13,0.488472622,155,547,5,0.220797721,393,303,11,0.564655172,324,364,19,0.470930233,365,326,16,0.528219971
26,BALDWIN,1622,-70.7781171,43.8331978,435,476,25,0.477497256,384,526,26,0.421978022,249,665,22,0.272428884,415,493,28,0.457048458,346,543,47,0.38920135,444,457,35,0.492785794
27,BANGOR,32262,-68.7712257,44.8016128,7932,7727,251,0.506545756,8618,6951,343,0.553535873,8558,7111,243,0.546173974,8630,7005,277,0.551966741,8152,7151,609,0.532706005,9929,5448,535,0.645704624
28,BARING,237,-67.3116215,45.133367,62,63,2,0.496,55,69,3,0.443548387,46,80,1,0.365079365,65,59,3,0.524193548,58,66,3,0.467741935,74,49,4,0.601626016
29,BATH,8338,-69.8206023,43.9106353,2716,2027,82,0.572633354,2850,1891,82,0.601139,2825,1932,66,0.593861678,3092,1645,86,0.652733798,2775,1905,143,0.592948718,3320,1384,119,0.705782313
30,BEALS,498,-67.615038,44.5198491,127,158,3,0.445614035,114,169,5,0.402826855,102,178,8,0.364285714,148,134,6,0.524822695,101,170,17,0.372693727,160,114,14,0.583941606
31,BEDDINGTON,48,-68.0619547,44.8481283,17,20,0,0.459459459,12,25,0,0.324324324,9,28,0,0.243243243,15,22,0,0.405405405,13,24,0,0.351351351,22,15,0,0.594594595
32,BELFAST,6679,-69.0064234,44.4259092,2056,1811,131,0.531678304,2291,1566,141,0.593984962,2199,1685,114,0.566168898,2557,1325,116,0.658681092,2234,1567,197,0.587740068,2551,1265,182,0.668501048
33,BELGRADE,3149,-69.8321003,44.4466514,890,1136,23,0.43928924,879,1146,24,0.434074074,757,1271,21,0.373274162,982,1037,30,0.486379396,928,1079,42,0.462381664,1168,837,44,0.582543641
34,BELMONT,913,-69.111907,44.3776275,250,316,11,0.441696113,266,305,6,0.465849387,183,386,8,0.321616872,280,287,10,0.49382716,240,318,19,0.430107527,271,292,14,0.481349911
35,BENTON,2713,-69.5508778,44.586177,663,888,15,0.427466151,692,847,27,0.449642625,422,1126,18,0.272609819,644,892,30,0.419270833,651,861,54,0.430555556,779,741,46,0.5125
36,BERWICK,7872,-70.8635506,43.2683199,2222,1696,87,0.567126085,2118,1783,104,0.542937708,1960,1964,81,0.499490316,2296,1615,94,0.587062132,2025,1785,195,0.531496063,2376,1441,188,0.622478386
37,BETHEL,2738,-70.7898806,44.4044586,883,803,26,0.523724792,851,829,32,0.506547619,730,964,18,0.430932704,893,789,30,0.530915577,907,765,40,0.542464115,1097,568,47,0.658858859
38,BIDDEFORD,21504,-70.4533844,43.4925843,5568,4544,201,0.550632911,6012,4071,230,0.596251116,6265,3880,168,0.617545589,6480,3641,192,0.640252939,5690,4234,389,0.573357517,6376,3567,370,0.641255154
39,BINGHAM,900,-69.8823059,45.0586793,244,286,14,0.460377358,246,286,12,0.462406015,132,404,8,0.246268657,251,279,14,0.473584906,221,301,22,0.423371648,300,220,24,0.576923077
40,BLAINE,671,-67.8686274,46.5047594,115,277,7,0.293367347,157,232,10,0.403598972,74,321,4,0.187341772,164,227,8,0.41943734,126,248,25,0.336898396,162,218,19,0.426315789
41,BOOTHBAY,3173,-69.6337364,43.8762865,1088,989,33,0.523832451,959,1114,40,0.462614568,931,1154,28,0.446522782,1160,912,41,0.55984556,1109,936,68,0.542298289,1415,658,40,0.682585625
42,BOWDOIN,3211,-69.9696243,44.0495825,842,910,12,0.480593607,756,990,18,0.432989691,576,1179,9,0.328205128,799,954,11,0.455790074,764,951,49,0.44548105,900,832,32,0.519630485
43,BOWDOINHAM,3056,-69.8968927,44.0091821,1016,844,25,0.546236559,917,935,33,0.495140389,848,1022,15,0.453475936,1025,838,22,0.550187869,983,853,49,0.53540305,1145,693,47,0.622959739
44,BOWERBANK,112,-69.2547818,45.3156873,30,62,1,0.326086957,29,63,1,0.315217391,24,69,0,0.258064516,34,58,1,0.369565217,34,57,2,0.373626374,47,43,3,0.522222222
45,BRADFORD,1228,-68.9366104,45.0671376,313,358,8,0.466467958,275,395,9,0.410447761,124,549,6,0.184249629,271,400,8,0.403874814,225,436,18,0.340393343,294,372,13,0.441441441
46,BRADLEY,1488,-68.6276101,44.9167519,362,463,9,0.438787879,387,435,12,0.47080292,261,568,5,0.314837153,361,462,11,0.438639125,345,464,25,0.42645241,424,394,16,0.518337408
47,BREMEN,807,-69.4026747,43.992866,250,258,5,0.492125984,238,271,4,0.467583497,272,241,0,0.530214425,318,191,4,0.62475442,257,245,11,0.511952191,327,177,9,0.648809524
48,BREWER,9035,-68.7614246,44.7967378,2279,2941,84,0.436590038,2385,2816,103,0.45856566,2204,3016,84,0.422222222,2331,2879,94,0.447408829,2322,2805,177,0.452896431,2888,2256,160,0.561430793
49,BRIDGEWATER,562,-67.8433564,46.427822,87,219,7,0.284313725,130,178,5,0.422077922,75,236,2,0.241157556,146,160,7,0.477124183,120,181,12,0.398671096,131,176,6,0.426710098
50,BRIDGTON,5434,-70.7128684,44.0548021,1546,1432,46,0.519140363,1395,1577,55,0.469380888,1298,1687,42,0.434840871,1624,1341,62,0.54772344,1535,1391,101,0.524606972,1707,1212,108,0.584789311
51,BRIGHTON,67,-69.6947755,45.0453339,24,25,0,0.489795918,21,27,1,0.4375,8,41,0,0.163265306,28,20,1,0.583333333,28,21,0,0.571428571,27,20,2,0.574468085
52,BRISTOL,2787,-69.4954131,43.9248053,868,995,31,0.465915191,900,958,36,0.484391819,932,943,19,0.497066667,1109,754,31,0.595276436,943,884,67,0.516146689,1249,601,44,0.675135135
53,BROOKLIN,812,-68.5691898,44.2661906,325,247,2,0.568181818,296,274,4,0.519298246,334,236,4,0.585964912,372,199,3,0.651488616,333,234,7,0.587301587,413,151,10,0.732269504
54,BROOKS,1133,-69.120873,44.5503501,251,323,7,0.43728223,280,290,11,0.49122807,168,405,8,0.293193717,280,287,14,0.49382716,235,331,15,0.415194346,296,265,20,0.527629234
55,BROOKSVILLE,913,-68.6847872,44.3469906,349,297,11,0.540247678,326,318,13,0.50621118,348,299,10,0.537867079,434,213,10,0.670788253,354,276,27,0.561904762,445,193,19,0.697492163
56,BROWNFIELD,1643,-70.9086768,43.9381275,491,373,14,0.568287037,437,429,12,0.504618938,320,549,9,0.368239356,497,369,12,0.573903002,420,427,31,0.495867769,494,359,25,0.579132474
57,BROWNVILLE,1187,-69.03339,45.3070685,302,297,12,0.504173623,282,318,11,0.47,152,450,9,0.252491694,285,311,15,0.478187919,270,317,24,0.459965928,316,271,24,0.538330494
58,BRUNSWICK,20535,-69.966996,43.9140162,7000,5695,197,0.551398188,7653,5038,201,0.603025766,8654,4089,149,0.679117947,8506,4163,223,0.671402636,7801,4649,442,0.626586345,9164,3335,393,0.733178654
59,BUCKFIELD,2041,-70.3653359,44.2895134,525,575,12,0.477272727,465,633,14,0.423497268,292,810,10,0.264972777,457,638,17,0.417351598,453,643,16,0.413321168,476,619,17,0.434703196
60,BUCKSPORT,4925,-68.7701224,44.6289696,1288,1329,38,0.492166603,1277,1342,36,0.487590683,848,1782,25,0.32243346,1309,1309,37,0.5,1184,1399,72,0.458381727,1469,1132,54,0.564782776
61,BURLINGTON,457,-68.4266875,45.2092264,89,100,5,0.470899471,74,116,4,0.389473684,29,161,4,0.152631579,91,99,4,0.478947368,77,110,7,0.411764706,83,104,7,0.443850267
62,BURNHAM,1231,-69.4292308,44.6927723,301,359,29,0.456060606,310,346,33,0.472560976,179,483,27,0.270392749,312,345,32,0.474885845,263,378,48,0.410296412,303,347,39,0.466153846
63,BUXTON,8327,-70.5189422,43.6378583,2593,2284,22,0.531679311,2344,2503,51,0.483598102,1941,2938,19,0.397827424,2501,2352,45,0.515351329,2373,2417,108,0.495407098,2689,2095,114,0.56208194
64,BYRON,149,-70.6306241,44.7220034,43,43,7,0.5,45,41,7,0.523255814,12,73,8,0.141176471,40,47,6,0.459770115,41,43,9,0.488095238,48,37,8,0.564705882
65,CALAIS,3005,-67.2786038,45.1889633,737,735,33,0.500679348,770,700,35,0.523809524,563,908,34,0.382732835,812,657,36,0.552756978,631,795,79,0.442496494,860,586,59,0.594744122
66,CAMBRIDGE,452,-69.4739368,45.0242231,87,178,4,0.328301887,93,172,4,0.350943396,53,213,3,0.19924812,97,169,3,0.364661654,92,170,7,0.351145038,105,157,7,0.400763359
67,CAMDEN,4783,-69.0647838,44.2097928,1870,1502,131,0.554567023,1978,1394,131,0.586595492,2483,906,114,0.732664503,2415,965,123,0.714497041,2222,1099,182,0.66907558,2650,658,195,0.801088271
68,CANAAN,2170,-69.5614376,44.7617295,533,606,17,0.467954346,537,608,11,0.468995633,269,872,15,0.235758107,536,608,12,0.468531469,508,612,36,0.453571429,553,585,18,0.485940246
69,CANTON,1098,-69.4454689,45.253783,236,297,6,0.442776735,249,282,8,0.468926554,132,397,10,0.24952741,267,262,10,0.504725898,240,275,24,0.466019417,266,259,14,0.506666667
70,CARATUNK,65,-69.9903474,45.2335733,20,30,0,0.4,26,23,1,0.530612245,14,36,0,0.28,23,27,0,0.46,23,25,2,0.479166667,32,16,2,0.666666667
71,CARMEL,2845,-69.0511537,44.7975688,685,935,12,0.422839506,662,956,14,0.409147095,386,1235,11,0.238124614,625,990,17,0.386996904,600,984,48,0.378787879,739,860,33,0.462163852
72,CARROLL,146,-68.0366118,45.4144799,25,69,1,0.265957447,36,58,1,0.382978723,16,78,1,0.170212766,43,51,1,0.457446809,31,62,2,0.333333333,27,67,1,0.287234043
73,CARTHAGE,542,-70.4734195,44.6240737,135,149,8,0.475352113,143,138,11,0.508896797,69,215,8,0.242957746,126,156,10,0.446808511,111,166,15,0.400722022,140,140,12,0.5
74,CARY,201,-67.8619616,45.995333,36,81,1,0.307692308,54,63,1,0.461538462,21,97,0,0.177966102,58,57,3,0.504347826,42,72,4,0.368421053,43,74,1,0.367521368
75,CASCO,3928,-70.5211945,43.969246,1187,952,15,0.554932211,1024,1106,25,0.480751174,826,1306,23,0.387429644,1135,991,29,0.533866416,1041,1053,61,0.49713467,1167,940,48,0.553868059
76,CASTINE,992,-68.7989582,44.3888609,324,267,9,0.54822335,268,321,11,0.455008489,333,259,8,0.5625,338,251,11,0.57385399,305,271,24,0.529513889,434,150,16,0.743150685
77,CASWELL,282,-67.8644525,46.9811169,53,95,1,0.358108108,84,62,3,0.575342466,49,97,3,0.335616438,92,56,1,0.621621622,53,88,8,0.375886525,91,54,4,0.627586207
78,CHAPMAN,445,-68.1608669,46.6480974,109,164,6,0.399267399,136,138,5,0.496350365,64,210,5,0.233576642,130,144,5,0.474452555,118,152,9,0.437037037,137,128,14,0.516981132
79,CHARLESTON,1717,-69.0405949,45.0850615,250,464,2,0.350140056,262,445,9,0.370579915,142,573,1,0.198601399,237,471,8,0.334745763,255,441,20,0.36637931,284,416,16,0.405714286
80,CHARLOTTE,317,-67.2452664,45.0211881,69,115,1,0.375,88,94,3,0.483516484,43,139,3,0.236263736,99,83,3,0.543956044,74,104,7,0.415730337,105,74,6,0.586592179
81,CHELSEA,2750,-69.7172658,44.2503474,694,817,16,0.459298478,716,793,18,0.474486415,443,1069,15,0.292989418,694,816,17,0.459602649,670,815,42,0.451178451,785,716,26,0.522984677
82,CHERRYFIELD,1161,-67.9258366,44.6072991,274,372,5,0.424148607,293,348,10,0.457098284,193,449,9,0.300623053,331,309,11,0.5171875,264,366,21,0.419047619,311,322,18,0.491311216
83,CHESTER,525,-68.4997474,45.4086674,117,203,12,0.365625,115,203,14,0.36163522,62,261,9,0.191950464,118,202,12,0.36875,118,199,15,0.372239748,153,165,14,0.481132075
84,CHESTERVILLE,1350,-70.0861692,44.5511745,369,369,9,0.5,323,415,9,0.437669377,178,559,10,0.241519674,382,353,12,0.519727891,334,390,23,0.461325967,372,357,18,0.510288066
85,CHINA,4302,-69.5172641,44.4786791,1172,1317,27,0.470871836,1164,1314,38,0.469733656,804,1686,26,0.322891566,1174,1311,31,0.472434608,1142,1295,79,0.468608945,1370,1078,68,0.559640523
86,CLIFTON,905,-68.511138,44.8167372,254,258,6,0.49609375,232,281,5,0.452241715,153,362,3,0.297087379,230,285,3,0.446601942,228,277,13,0.451485149,239,264,15,0.475149105
87,CLINTON,3354,-69.5031267,44.637828,722,953,32,0.431044776,799,880,28,0.475878499,400,1278,29,0.238379023,762,921,24,0.452762923,734,920,53,0.443772672,889,779,39,0.532973621
88,COLUMBIA,464,-67.8039998,44.669418,104,116,0,0.472727273,71,145,4,0.328703704,30,190,0,0.136363636,89,130,1,0.406392694,66,149,5,0.306976744,93,123,4,0.430555556
89,COOPER,145,-67.4397144,44.959521,44,51,0,0.463157895,35,60,0,0.368421053,22,73,0,0.231578947,40,55,0,0.421052632,34,61,0,0.357894737,54,41,0,0.568421053
90,COPLIN,159,-70.4697339,45.0987282,59,42,2,0.584158416,38,63,2,0.376237624,31,70,2,0.306930693,45,56,2,0.445544554,49,50,4,0.494949495,51,49,3,0.51
91,CORINNA,2141,-69.2617131,44.921174,438,708,15,0.382198953,504,637,20,0.441717791,267,881,13,0.232578397,488,658,15,0.42582897,470,656,35,0.41740675,530,602,29,0.46819788
92,CORINTH,2804,-68.9991802,44.9861321,537,977,17,0.354689564,550,959,22,0.364479788,307,1212,12,0.202106649,529,983,19,0.349867725,499,980,52,0.337390128,654,833,44,0.439811701
93,CORNISH,1421,-70.8011731,43.8047977,424,406,6,0.510843373,399,424,13,0.484811665,287,542,7,0.346200241,433,388,15,0.527405603,384,426,26,0.474074074,429,381,26,0.52962963
94,CORNVILLE,1380,-69.6731067,44.8367272,319,395,18,0.446778711,289,425,18,0.404761905,178,536,18,0.24929972,295,419,18,0.413165266,281,416,35,0.403156385,341,362,29,0.485064011
95,CRAWFORD,96,-67.5513796,45.0528624,26,42,5,0.382352941,24,45,4,0.347826087,17,53,3,0.242857143,31,38,4,0.449275362,25,42,6,0.373134328,25,41,7,0.378787879
96,CRYSTAL,248,-68.3603059,45.9592186,58,90,1,0.391891892,67,80,2,0.455782313,37,111,1,0.25,64,84,1,0.432432432,58,86,5,0.402777778,76,68,5,0.527777778
97,CUMBERLAND,8208,-70.2585205,43.796573,2679,2788,38,0.490031096,2129,3322,54,0.390570538,3761,1727,17,0.685313411,3115,2347,43,0.570303918,3091,2269,145,0.576679104,3760,1630,115,0.697588126
98,CUSHING,1495,-69.2614502,44.0137798,453,414,15,0.522491349,434,432,16,0.501154734,368,501,13,0.423475259,485,383,14,0.55875576,404,445,33,0.475853946,520,334,28,0.608899297
99,CUTLER,511,-67.2038737,44.6575794,106,187,4,0.361774744,100,190,7,0.344827586,76,218,3,0.258503401,135,156,6,0.463917526,103,170,24,0.377289377,117,159,21,0.423913043
100,CYR,94,-67.9992115,47.0968485,22,31,0,0.41509434,29,24,0,0.547169811,12,40,1,0.230769231,31,21,1,0.596153846,19,30,4,0.387755102,29,23,1,0.557692308
101,DALLAS,296,-70.5559011,44.9969997,108,96,3,0.529411765,96,108,3,0.470588235,70,134,3,0.343137255,109,94,4,0.536945813,102,101,4,0.502463054,134,71,2,0.653658537
102,DAMARISCOTTA,2151,-69.5188885,44.0328765,736,611,25,0.546399406,783,562,27,0.582156134,804,552,16,0.592920354,893,451,28,0.664434524,763,560,49,0.576719577,954,377,41,0.71675432
103,DAYTON,2082,-70.5704598,43.5358694,625,636,9,0.495638382,552,700,18,0.440894569,491,771,8,0.389064976,612,641,17,0.488427773,593,645,32,0.478998384,669,579,22,0.536057692
104,DEBLOIS,54,-68.0147304,44.7414636,18,20,1,0.473684211,10,29,0,0.256410256,6,33,0,0.153846154,13,26,0,0.333333333,13,26,0,0.333333333,19,20,0,0.487179487
105,DEDHAM,1670,-68.6582536,44.6931707,525,564,11,0.482093664,491,596,13,0.451701932,380,710,10,0.348623853,510,579,11,0.468319559,496,579,25,0.461395349,575,501,24,0.534386617
106,DENMARK,1151,-70.8033966,43.9703491,380,357,15,0.515603799,341,394,17,0.463945578,284,459,9,0.382234186,395,341,16,0.536684783,373,342,37,0.521678322,418,299,35,0.582984658
107,DENNISTOWN,31,-70.2831241,45.6769905,3,22,1,0.12,9,16,1,0.36,4,22,0,0.153846154,4,22,0,0.153846154,9,16,1,0.36,7,18,1,0.28
108,DETROIT,827,-69.2960151,44.7927823,195,210,10,0.481481481,180,225,10,0.444444444,98,310,7,0.240196078,189,213,13,0.470149254,175,224,16,0.438596491,221,180,14,0.551122195
109,DEXTER,3706,-69.2898156,45.023918,768,1014,47,0.430976431,805,974,50,0.452501405,528,1255,46,0.296130118,838,941,50,0.471051152,723,1020,86,0.414802065,895,861,73,0.509681093
110,DIXFIELD,2486,-70.4563366,44.5313932,599,683,24,0.46723869,653,624,29,0.511354738,335,942,29,0.262333594,615,654,37,0.48463357,586,666,54,0.468051118,672,579,55,0.537170264
111,DIXMONT,1126,-69.1628221,44.6803471,326,414,6,0.440540541,314,423,9,0.42605156,185,557,4,0.249326146,319,418,9,0.432835821,276,450,20,0.380165289,378,354,14,0.516393443
112,DOVER-FOXCROFT,4037,-69.2270821,45.1833421,877,1275,24,0.407527881,978,1166,32,0.456156716,707,1451,18,0.327618165,1005,1148,23,0.466790525,984,1141,51,0.463058824,1183,950,43,0.554617909
113,DRESDEN,1678,-69.7242215,44.1070945,591,486,12,0.548746518,540,538,11,0.500927644,401,680,8,0.370952821,577,501,11,0.535250464,560,498,31,0.529300567,624,447,18,0.582633053
114,DREW,37,-68.0942848,45.6013167,11,12,1,0.47826087,3,21,0,0.125,1,23,0,0.041666667,6,18,0,0.25,6,18,0,0.25,4,20,0,0.166666667
115,DURHAM,3993,-70.1229905,43.972476,1338,1260,13,0.515011547,1137,1452,22,0.439165701,949,1646,16,0.365703276,1229,1363,19,0.474151235,1194,1364,53,0.466770915,1301,1264,46,0.507212476
116,EASTBROOK,417,-68.2644618,44.6786857,104,132,8,0.440677966,104,128,12,0.448275862,42,196,6,0.176470588,97,138,9,0.412765957,91,141,12,0.392241379,109,124,11,0.467811159
117,EASTON,1181,-67.9098848,46.6410887,234,439,16,0.34769688,295,373,21,0.441616766,173,501,15,0.256676558,308,361,20,0.46038864,265,395,29,0.401515152,336,327,26,0.50678733
118,EASTPORT,1265,-66.9899785,44.9061906,426,366,23,0.537878788,477,311,27,0.605329949,416,376,23,0.525252525,531,260,24,0.671302149,420,358,37,0.539845758,579,202,34,0.741357234
119,EDDINGTON,2208,-68.6935362,44.8265844,633,715,19,0.46958457,559,785,23,0.415922619,415,936,16,0.307179867,567,779,21,0.421248143,532,789,46,0.402725208,597,733,37,0.44887218
120,EDGECOMB,1262,-69.630602,43.9584129,437,373,13,0.539506173,425,383,15,0.525990099,423,389,11,0.520935961,471,339,13,0.581481481,435,362,26,0.545796738,520,279,24,0.650813517
121,EDINBURG,125,-68.6903078,45.1764474,19,56,0,0.253333333,28,46,1,0.378378378,12,63,0,0.16,24,51,0,0.32,18,57,0,0.24,29,46,0,0.386666667
122,ELIOT,6908,-70.8000544,43.1531427,2414,1896,43,0.560092807,2287,2006,60,0.532727696,2751,1564,38,0.637543453,2854,1449,50,0.663258192,2368,1825,160,0.564750775,3006,1213,134,0.712491112
123,ELLSWORTH,8180,-68.4194641,44.5434095,1983,2323,95,0.460520204,1990,2312,99,0.462575546,1811,2521,69,0.418051708,2081,2215,105,0.484404097,1950,2276,175,0.461429248,2358,1911,132,0.552354181
124,EMBDEN,950,-69.8667244,44.9181137,263,270,2,0.493433396,233,297,5,0.439622642,134,394,7,0.253787879,262,262,11,0.5,241,279,15,0.463461538,259,262,14,0.497120921
125,ENFIELD,1536,-68.5658766,45.248726,371,476,6,0.438016529,369,471,13,0.439285714,229,618,6,0.270365998,444,402,7,0.524822695,365,466,22,0.439229844,423,415,15,0.50477327
126,ETNA,1199,-69.111155,44.8209007,301,343,13,0.467391304,290,352,15,0.451713396,155,489,13,0.24068323,279,362,16,0.43525741,269,368,20,0.422291994,304,332,21,0.477987421
127,EUSTIS,618,-70.438713,45.1402374,197,220,8,0.472422062,172,239,14,0.418491484,110,306,9,0.264423077,184,227,14,0.447688564,190,206,29,0.47979798,204,197,24,0.50872818
128,EXETER,1096,-69.1225343,44.9621841,236,308,6,0.433823529,216,329,5,0.396330275,128,418,4,0.234432234,239,305,6,0.439338235,201,333,16,0.376404494,281,257,12,0.522304833
129,FAIRFIELD,6552,-69.5986469,44.5884052,1531,1801,50,0.459483794,1623,1700,59,0.488414084,1099,2241,42,0.329041916,1569,1758,55,0.471596032,1588,1707,87,0.481942337,1750,1545,87,0.531107739
130,FALMOUTH,12312,-70.2601759,43.7435343,3970,4128,81,0.490244505,3072,5021,86,0.379587298,5900,2222,57,0.726422064,4672,3407,100,0.578289392,4552,3404,223,0.572146807,5759,2233,187,0.720595596
131,FARMINGDALE,2925,-69.7714428,44.2443842,756,926,41,0.449464923,868,812,43,0.516666667,773,921,29,0.456316411,883,802,38,0.524035608,827,828,68,0.499697885,1012,655,56,0.607078584
132,FARMINGTON,7762,-70.1512169,44.6704998,2055,1877,51,0.522634791,2231,1690,62,0.568987503,1714,2221,48,0.435578145,2239,1678,66,0.571610927,2111,1742,130,0.547884765,2310,1533,140,0.601092896
133,FAYETTE,1163,-70.0336654,44.4089558,352,426,11,0.452442159,361,417,11,0.464010283,290,491,8,0.371318822,427,351,11,0.548843188,377,387,25,0.493455497,409,363,17,0.529792746
134,FRANKFORT,1189,-68.8744635,44.6086733,294,366,11,0.445454545,284,372,15,0.432926829,160,507,4,0.23988006,300,364,7,0.451807229,275,373,23,0.424382716,325,318,28,0.505443235
135,FRANKLIN,1559,-68.2316054,44.5874877,398,405,8,0.495641345,387,408,16,0.486792453,281,518,12,0.351689612,398,395,18,0.501891551,369,405,37,0.476744186,445,340,26,0.566878981
136,FREEDOM,724,-69.2967536,44.5298272,204,230,6,0.470046083,210,226,4,0.481651376,144,289,7,0.33256351,216,218,6,0.497695853,214,204,22,0.511961722,243,187,10,0.565116279
137,FREEPORT,8558,-70.1031201,43.8570065,3064,2471,80,0.553568202,2659,2852,104,0.482489566,3592,1952,71,0.647907648,3389,2143,83,0.612617498,3349,2104,162,0.614157345,3824,1646,145,0.699085923
138,FRENCHBORO,59,-68.3625166,44.1181384,23,9,1,0.71875,10,21,2,0.322580645,9,23,1,0.28125,17,14,2,0.548387097,20,12,1,0.625,28,3,2,0.903225806
139,FRENCHVILLE,1037,-68.3797648,47.2808734,256,356,14,0.418300654,357,259,10,0.579545455,247,369,10,0.400974026,379,236,11,0.616260163,321,285,20,0.52970297,388,225,13,0.632952692
140,FRIENDSHIP,1134,-69.3341229,43.9838019,333,413,12,0.446380697,341,399,18,0.460810811,256,494,8,0.341333333,388,357,13,0.520805369,315,409,34,0.435082873,428,309,21,0.5807327
141,FRYEBURG,3451,-70.9806357,44.0164329,1003,794,36,0.558152476,994,797,42,0.554997208,813,986,34,0.451917732,1161,633,39,0.647157191,933,803,97,0.537442396,1128,630,75,0.641638225
