,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes,q7yes,q7no,q7blank,q7pyes
172,HERSEY,75,-68.4341636,46.0733805,10,20,1,0.333333333,13,17,1,0.433333333,17,13,1,0.566666667,19,11,1,0.633333333,15,15,1,0.5,16,14,1,0.533333333,13,17,1,0.433333333
173,HIGHLAND,70,-70.0617497,45.0751866,36,80,1,0.310344828,57,56,4,0.504424779,67,45,5,0.598214286,52,56,9,0.481481481,44,66,7,0.4,59,53,5,0.526785714,48,63,6,0.432432432
174,HIRAM,1642,-70.8322512,43.8350627,256,413,29,0.382660688,364,272,62,0.572327044,380,248,70,0.605095541,365,265,68,0.579365079,285,344,69,0.453100159,362,271,65,0.571879937,348,279,71,0.555023923
175,HODGDON,1267,-67.8497604,46.0612772,154,380,12,0.288389513,251,263,32,0.488326848,278,234,34,0.54296875,258,252,36,0.505882353,170,343,33,0.331384016,259,254,33,0.504873294,210,297,39,0.414201183
176,HOLDEN,3104,-68.6789218,44.7528499,607,1076,29,0.360665478,833,822,57,0.503323263,878,776,58,0.530834341,944,707,61,0.571774682,744,905,63,0.451182535,866,789,57,0.52326284,816,836,60,0.493946731
177,HOLLIS,4747,-70.6208974,43.6346754,841,1305,16,0.391891892,1214,874,74,0.581417625,1201,872,89,0.579353594,1310,772,80,0.62920269,943,1122,97,0.456658596,1290,792,80,0.619596542,1193,882,87,0.574939759
178,HOPE,1687,-69.1589421,44.2650248,370,447,17,0.452876377,525,272,37,0.658720201,471,312,51,0.601532567,461,325,48,0.586513995,385,394,55,0.494223363,496,296,42,0.626262626,457,326,51,0.583652618
179,HOULTON,5752,-67.8402316,46.1261806,748,1316,32,0.362403101,1125,864,107,0.56561086,1250,745,101,0.626566416,1226,767,103,0.615153036,906,1071,119,0.458270106,1257,732,107,0.631975867,1014,964,118,0.512639029
180,HOWLAND,1203,-68.6588563,45.2431227,184,371,10,0.331531532,276,249,40,0.525714286,303,220,42,0.579349904,310,220,35,0.58490566,233,290,42,0.445506692,304,225,36,0.574669187,272,255,38,0.516129032
181,HUDSON,1513,-68.8805923,45.0011783,149,441,12,0.252542373,251,317,34,0.441901408,304,256,42,0.542857143,293,271,38,0.519503546,224,338,40,0.398576512,275,290,37,0.486725664,255,311,36,0.450530035
182,INDUSTRY,931,-70.0599702,44.7473347,144,263,8,0.353808354,223,176,16,0.558897243,226,168,21,0.573604061,227,167,21,0.576142132,188,203,24,0.480818414,225,171,19,0.568181818,207,184,24,0.529411765
183,ISLESBORO,561,-68.9085778,44.2938855,198,142,8,0.582352941,229,98,21,0.70030581,214,109,25,0.6625387,212,113,23,0.652307692,180,139,29,0.564263323,229,98,21,0.70030581,224,103,21,0.685015291
184,JACKMAN,815,-70.2521511,45.6240392,96,373,13,0.204690832,221,219,42,0.502272727,227,209,46,0.520642202,233,208,41,0.528344671,158,275,49,0.364896074,229,208,45,0.52402746,196,234,52,0.455813953
185,JACKSON,585,-69.1208748,44.6147933,87,166,6,0.343873518,147,100,12,0.5951417,153,88,18,0.634854772,147,101,11,0.592741935,131,114,14,0.534693878,147,96,16,0.604938272,139,102,18,0.576763485
186,JAY,4623,-70.2161924,44.5039265,716,1518,25,0.320501343,1252,947,60,0.569349704,1288,899,72,0.588934614,1332,861,66,0.607387141,1011,1173,75,0.462912088,1338,857,64,0.609567198,1190,995,74,0.544622426
187,JEFFERSON,2455,-69.4525442,44.2067419,483,839,18,0.365355522,718,567,55,0.558754864,710,559,71,0.559495666,716,551,73,0.565114444,575,680,85,0.458167331,709,563,68,0.557389937,687,584,69,0.540519276
188,JONESBORO,587,-67.5724938,44.6625773,103,176,3,0.369175627,155,118,9,0.567765568,155,115,12,0.574074074,164,109,9,0.600732601,130,141,11,0.479704797,153,122,7,0.556363636,164,110,8,0.598540146
189,JONESPORT,1317,-67.6030098,44.5310454,229,303,9,0.430451128,250,262,29,0.48828125,304,209,28,0.592592593,314,196,31,0.615686275,237,267,37,0.470238095,280,231,30,0.547945205,332,181,28,0.647173489
190,KENDUSKEAG,1365,-68.9317049,44.9195128,131,397,3,0.248106061,253,241,37,0.512145749,281,221,29,0.559760956,287,219,25,0.567193676,233,269,29,0.464143426,264,238,29,0.525896414,260,241,30,0.518962076
191,KENNEBUNK,11625,-70.54399,43.3845306,3420,2411,193,0.586520322,3843,1805,376,0.680417847,3814,1809,401,0.678285613,3883,1730,411,0.691786923,3479,2093,452,0.624371859,4035,1589,400,0.717460882,3804,1787,433,0.680379181
192,KENNEBUNKPORT,3651,-70.4767274,43.3617327,1271,767,45,0.623650638,1368,608,107,0.692307692,1373,599,111,0.696247465,1374,599,110,0.696401419,1201,759,123,0.612755102,1453,545,85,0.727227227,1416,560,107,0.71659919
193,KINGFIELD,974,-70.1539542,44.9592231,234,476,11,0.329577465,410,273,38,0.600292826,425,251,45,0.628698225,411,262,48,0.610698366,329,343,49,0.489583333,427,250,44,0.630723781,373,301,47,0.553412463
194,KINGMAN,171,-68.1994627,45.5495057,22,40,0,0.35483871,25,33,4,0.431034483,31,27,4,0.534482759,35,23,4,0.603448276,23,32,7,0.418181818,29,29,4,0.5,24,35,3,0.406779661
195,KITTERY,9819,-70.736137,43.0881256,2596,1324,70,0.662244898,2618,1173,199,0.69058296,2655,1108,227,0.705554079,2517,1243,230,0.669414894,2184,1550,256,0.584895554,2908,915,167,0.760659168,2631,1136,223,0.698433767
196,KNOX,789,-69.2133749,44.517294,101,252,0,0.28611898,161,185,7,0.465317919,152,190,11,0.444444444,160,184,9,0.465116279,131,212,10,0.381924198,153,190,10,0.44606414,137,204,12,0.401759531
197,LAGRANGE,679,-68.8447783,45.1668297,87,210,0,0.292929293,151,134,12,0.529824561,155,133,9,0.538194444,162,126,9,0.5625,123,166,8,0.425605536,169,120,8,0.584775087,149,141,7,0.513793103
198,LAKEVILLE,101,-68.0647964,45.3168704,13,49,1,0.209677419,34,24,5,0.586206897,33,25,5,0.568965517,34,24,5,0.586206897,25,33,5,0.431034483,31,26,6,0.543859649,30,28,5,0.517241379
199,LAMOINE,1703,-68.3191852,44.4911002,451,481,6,0.483905579,537,380,21,0.585605234,553,359,26,0.606359649,581,333,24,0.635667396,496,416,26,0.543859649,557,357,24,0.60940919,537,380,21,0.585605234
200,LEBANON,6391,-70.919379,43.4006697,851,1277,38,0.399906015,1195,861,110,0.581225681,1195,863,108,0.580660836,1146,911,109,0.557122022,853,1192,121,0.417114914,1318,748,100,0.637947725,1163,889,114,0.566764133
201,LEE,874,-68.2864076,45.3600615,78,343,12,0.185273159,181,216,36,0.455919395,230,168,35,0.577889447,226,173,34,0.56641604,162,230,41,0.413265306,182,213,38,0.460759494,188,204,41,0.479591837
202,LEEDS,2314,-70.1194984,44.3034024,348,719,7,0.326148079,605,437,32,0.580614203,553,480,41,0.535333979,589,444,41,0.57018393,442,584,48,0.43079922,590,446,38,0.569498069,539,491,44,0.523300971
203,LEVANT,2981,-68.9347611,44.8692358,339,804,47,0.296587927,536,583,71,0.478999106,577,536,77,0.518418688,590,530,70,0.526785714,436,675,79,0.392439244,542,572,76,0.486535009,505,608,77,0.453728661
204,LEWISTON,36225,-70.2147764,44.100351,6907,6396,377,0.519206194,7834,5093,753,0.606018411,8084,4789,807,0.627981046,8261,4608,811,0.64193022,6602,6192,886,0.516023136,8990,3978,712,0.693244911,7540,5320,820,0.586314152
205,LIBERTY,968,-69.3026507,44.3893688,185,276,4,0.401301518,268,184,13,0.592920354,257,190,18,0.574944072,261,187,17,0.582589286,216,226,23,0.488687783,286,165,14,0.634146341,271,177,17,0.604910714
206,LIMERICK,3022,-70.7936719,43.6884112,512,742,43,0.408293461,691,531,75,0.565466448,713,494,90,0.590720795,689,526,82,0.567078189,562,642,93,0.466777409,725,493,79,0.595238095,674,533,90,0.558409279
207,LIMESTONE,2173,-67.825816,46.9086023,310,333,25,0.482115086,405,227,36,0.640822785,440,196,32,0.691823899,423,210,35,0.668246445,339,289,40,0.539808917,451,185,32,0.709119497,365,266,37,0.57844691
208,LIMINGTON,3918,-70.7108924,43.7317442,635,1006,8,0.386959171,837,737,75,0.531766201,839,728,82,0.535417996,864,702,83,0.551724138,654,902,93,0.420308483,871,700,78,0.554423934,775,781,93,0.498071979
209,LINCOLN,4862,-68.5050006,45.3622301,604,1428,70,0.297244094,953,1026,123,0.481556342,1111,872,119,0.560262229,1095,887,120,0.55247225,790,1175,137,0.402035623,1017,964,121,0.513377082,963,1005,134,0.489329268
210,LINCOLNVILLE,2226,-69.0087018,44.2811973,634,576,20,0.523966942,804,381,45,0.678481013,732,434,64,0.627787307,728,440,62,0.623287671,627,529,74,0.542387543,773,405,52,0.656196944,735,429,66,0.631443299
211,LINNEUS,910,-67.9600193,46.038665,94,249,4,0.274052478,184,145,18,0.559270517,201,124,22,0.618461538,195,127,25,0.605590062,140,184,23,0.432098765,189,140,18,0.574468085,160,165,22,0.492307692
212,LISBON,9005,-70.1043704,44.0316013,1655,2423,59,0.405836194,1971,2012,154,0.494853126,2066,1906,165,0.520140987,2114,1868,155,0.530889001,1544,2402,191,0.391282311,2329,1664,144,0.583270724,1933,2025,179,0.488377969
213,LITCHFIELD,3658,-69.93356,44.1740739,663,1043,13,0.38862837,931,737,51,0.558153477,905,749,65,0.547158404,967,690,62,0.583584792,748,908,63,0.451690821,952,709,58,0.573148706,882,770,67,0.533898305
214,LITTLETON,989,-67.8411308,46.2308838,134,241,14,0.357333333,200,161,28,0.55401662,212,148,29,0.588888889,194,163,32,0.543417367,141,216,32,0.394957983,214,146,29,0.594444444,158,201,30,0.440111421
