city,lon,lat,q1pyes,q2pyes,q3pyes,q4pyes,q5pyes
DREW,-68.0942848,45.6013167,0.15,0.5,0.705882353,0.764705882,0.5
DURHAM,-70.1229905,43.972476,0.504559271,0.375502906,0.565333333,0.646482636,0.496210432
EASTBROOK,-68.2644618,44.6786857,0.393518519,0.374407583,0.5,0.688679245,0.521327014
EASTON,-67.9098848,46.6410887,0.304545455,0.47611465,0.492822967,0.742496051,0.588235294
EASTPORT,-66.9899785,44.9061906,0.520334928,0.523399015,0.621359223,0.793939394,0.762135922
EDDINGTON,-68.6935362,44.8265844,0.426656151,0.357664234,0.474919094,0.617552335,0.499594485
EDGECOMB,-69.630602,43.9584129,0.568393094,0.497275204,0.611859838,0.714477212,0.59383378
EDINBURG,-68.6903078,45.1764474,0.38028169,0.376811594,0.397058824,0.594202899,0.426470588
ELIOT,-70.8000544,43.1531427,0.621379134,0.553151709,0.716134143,0.788665254,0.7104843
ELLSWORTH,-68.4194641,44.5434095,0.522085259,0.428196377,0.534016286,0.699031667,0.591675448
EMBDEN,-69.8667244,44.9181137,0.344969199,0.312633833,0.478813559,0.617154812,0.472689076
ENFIELD,-68.5658766,45.248726,0.304123711,0.35667107,0.484293194,0.675324675,0.490221643
ETNA,-69.111155,44.8209007,0.357963875,0.333333333,0.45,0.610738255,0.464646465
EUSTIS,-70.438713,45.1402374,0.407008086,0.43258427,0.624309392,0.671270718,0.56302521
EXETER,-69.1225343,44.9621841,0.332727273,0.37732342,0.529411765,0.685082873,0.54174397
FAIRFIELD,-69.5986469,44.5884052,0.453228346,0.446555055,0.5785416,0.714376997,0.590353698
FALMOUTH,-70.2601759,43.7435343,0.678795149,0.578324852,0.671117166,0.764185603,0.725181432
FARMINGDALE,-69.7714428,44.2443842,0.470182046,0.452854394,0.599356913,0.742511154,0.630154639
FARMINGTON,-70.1512169,44.6704998,0.58660214,0.519383962,0.658355438,0.731559536,0.662316911
FAYETTE,-70.0336654,44.4089558,0.448787062,0.416897507,0.593103448,0.649243466,0.530470914
FRANKFORT,-68.8744635,44.6086733,0.356589147,0.387878788,0.459405941,0.643564356,0.493013972
FRANKLIN,-68.2316054,44.5874877,0.471311475,0.386685552,0.538247566,0.701803051,0.565217391
FREEDOM,-69.2967536,44.5298272,0.506234414,0.436692506,0.595360825,0.640102828,0.580729167
FREEPORT,-70.1031201,43.8570065,0.675563464,0.550736498,0.687399031,0.739359546,0.670873194
FRENCHBORO,-68.3625166,44.1181384,0.487179487,0.487179487,0.615384615,0.820512821,0.692307692
FRENCHVILLE,-68.3797648,47.2808734,0.283557047,0.512908778,0.528205128,0.831918506,0.679117148
FRIENDSHIP,-69.3341229,43.9838019,0.322535211,0.417549168,0.580118694,0.680534918,0.538694992
FRYEBURG,-70.9806357,44.0164329,0.552173913,0.494851995,0.646419437,0.773680865,0.602448454
GARDINER,-69.7753222,44.2300698,0.511398435,0.460471567,0.593243709,0.694874441,0.646426093
GARFIELD,-68.4973291,46.6014312,0.28,0.395833333,0.458333333,0.770833333,0.458333333
GARLAND,-69.1603206,45.0383951,0.375,0.367537313,0.490636704,0.602230483,0.50094162
GEORGETOWN,-69.752359,43.8021196,0.592339261,0.531073446,0.675524476,0.733612273,0.656381487
GILEAD,-70.9727112,44.3940915,0.482758621,0.481818182,0.580357143,0.752212389,0.666666667
GLENBURN,-68.8457461,44.9168621,0.415716612,0.398918469,0.501044714,0.676091476,0.526117844
GLENWOOD,-68.1107653,45.8031249,0.333333333,0.166666667,0.833333333,0.833333333,0.833333333
GORHAM,-70.4442252,43.6795314,0.602089585,0.512826412,0.632121976,0.71539961,0.634137891
GOULDSBORO,-68.039543,44.47852,0.524152107,0.407991588,0.560209424,0.746361746,0.550052687
GRAY,-70.3317195,43.885632,0.543041927,0.472718936,0.627258175,0.69372862,0.597563778
GREENBUSH,-68.6508635,45.0803409,0.317741935,0.300330033,0.425,0.57641196,0.424040067
GREENE,-70.1403313,44.189794,0.398286938,0.356859285,0.542343133,0.616965457,0.481497797
GREENVILLE,-69.5905814,45.4594863,0.384888889,0.378649635,0.549143372,0.629928315,0.483197094
GREENWOOD,-70.6508978,44.3184011,0.509302326,0.491841492,0.617715618,0.72960373,0.587006961
GUILFORD,-69.3844783,45.1689375,0.379166667,0.341007194,0.452312139,0.637535817,0.492063492
HALLOWELL,-69.7908786,44.2859022,0.688513952,0.608579088,0.710738255,0.824933687,0.762256548
HAMLIN,-67.7939057,47.065878,0.252631579,0.445652174,0.425531915,0.726315789,0.621052632
HAMMOND,-67.9177143,46.1949948,0.270833333,0.340425532,0.479166667,0.617021277,0.541666667
HAMPDEN,-68.8370436,44.7445421,0.524073182,0.472889329,0.55659911,0.725263933,0.615650457
HANCOCK,-68.2537463,44.5291357,0.486042693,0.381478335,0.536340852,0.675270608,0.524091293
